Date,Price,Open,High,Low,Vol.,Change %
"Jan 31, 2021","7,750","7,750","7,750","7,750",-,0.00%
"Jan 29, 2021","7,750","7,880","7,950","7,480",903.23K,-1.27%
"Jan 28, 2021","7,850","8,030","8,030","7,810",987.97K,-4.38%
"Jan 27, 2021","8,210","8,610","8,610","8,180",0.22K,-4.87%
"Jan 26, 2021","8,630","8,910","8,910","8,500",0.51K,-3.36%
"Jan 25, 2021","8,930","8,790","9,000","8,660",0.16K,2.41%
"Jan 22, 2021","8,720","8,870","8,950","8,720",791.01K,0.11%
"Jan 21, 2021","8,710","8,700","8,820","8,660",0.01K,0.23%
"Jan 20, 2021","8,690","8,940","8,940","8,520",989.72K,-1.25%
"Jan 19, 2021","8,800","8,520","8,870","8,410",0.00K,4.27%
"Jan 18, 2021","8,440","8,700","8,740","8,400",3.30K,-4.63%
"Jan 17, 2021","8,850","8,850","8,850","8,850",-,0.00%
"Jan 15, 2021","8,850","9,160","9,210","8,840",822.40K,-3.07%
"Jan 14, 2021","9,130","9,330","9,360","9,100",3.36K,0.77%
"Jan 13, 2021","9,060","9,040","9,130","8,910",2.00K,1.46%
"Jan 12, 2021","8,930","8,810","9,200","8,700",0.02K,-0.67%
"Jan 11, 2021","8,990","9,270","9,280","8,670",2.11M,-3.02%
"Jan 10, 2021","9,270","9,270","9,270","9,270",-,0.00%
"Jan 08, 2021","9,270","9,150","9,470","9,050",2.39M,1.42%
"Jan 07, 2021","9,140","9,180","9,410","9,120",0.33K,0.99%
"Jan 06, 2021","9,050","9,190","9,300","8,870",0.13K,-0.88%
"Jan 05, 2021","9,130","8,700","9,560","8,640",0.02K,5.18%
"Jan 04, 2021","8,680","8,120","8,690","7,990",9.63K,6.90%
"Dec 30, 2020","8,120","7,860","8,200","7,770",1.55M,3.84%
"Dec 29, 2020","7,820","7,700","7,860","7,650",643.18K,1.56%
"Dec 28, 2020","7,700","7,780","7,830","7,630",0.00K,-1.16%
"Dec 27, 2020","7,790","7,790","7,790","7,790",-,0.00%
"Dec 24, 2020","7,790","7,850","7,940","7,720",670.09K,-0.38%
"Dec 23, 2020","7,820","7,900","7,900","7,640",538.74K,0.51%
"Dec 22, 2020","7,780","8,140","8,160","7,740",0.02K,-4.89%
"Dec 21, 2020","8,180","8,200","8,200","7,970",0.14K,0.99%
"Dec 20, 2020","8,100","8,100","8,100","8,100",-,0.00%
"Dec 18, 2020","8,100","8,220","8,340","8,100",1.46M,0.62%
"Dec 17, 2020","8,050","8,040","8,050","7,790",1.07M,1.51%
"Dec 16, 2020","7,930","7,880","7,940","7,820",779.60K,1.67%
"Dec 15, 2020","7,800","7,900","8,130","7,710",1.49M,-1.76%
"Dec 14, 2020","7,940","7,980","8,050","7,800",791.24K,-0.38%
"Dec 13, 2020","7,970","7,970","7,970","7,970",-,0.00%
"Dec 11, 2020","7,970","7,900","8,050","7,870",917.91K,1.27%
"Dec 10, 2020","7,870","7,780","8,070","7,670",0.93K,0.00%
"Dec 09, 2020","7,870","7,320","7,900","7,320",1.53K,7.96%
"Dec 08, 2020","7,290","7,530","7,640","7,290",1.40K,-3.57%
"Dec 07, 2020","7,560","7,860","7,860","7,550",0.19K,-2.70%
"Dec 06, 2020","7,770","7,770","7,770","7,770",-,0.00%
"Dec 04, 2020","7,770","7,780","8,130","7,700",3.65M,0.91%
"Dec 03, 2020","7,700","7,640","7,750","7,520",2.00K,0.92%
"Dec 02, 2020","7,630","7,670","7,670","7,330",1.61M,0.66%
"Dec 01, 2020","7,580","7,460","7,670","7,410",1.86M,1.74%
"Nov 30, 2020","7,450","7,650","7,690","7,380",1.58M,-3.12%
"Nov 29, 2020","7,690","7,690","7,690","7,690",-,0.00%
"Nov 27, 2020","7,690","7,690","7,720","7,540",976.96K,0.13%
"Nov 26, 2020","7,680","7,890","7,930","7,550",1.62M,-2.66%
"Nov 25, 2020","7,890","8,300","8,400","7,860",0.02K,-3.55%
"Nov 24, 2020","8,180","8,020","8,420","8,010",0.03K,1.36%
"Nov 23, 2020","8,070","7,080","8,340","6,990",7.34M,13.98%
"Nov 22, 2020","7,080","7,080","7,080","7,080",-,0.00%
"Nov 20, 2020","7,080","7,040","7,080","6,930",531.69K,0.57%
"Nov 19, 2020","7,040","6,960","7,120","6,750",0.03K,1.44%
"Nov 18, 2020","6,940","7,020","7,150","6,870",0.21K,-1.70%
"Nov 17, 2020","7,060","7,230","7,400","7,000",0.00K,-0.84%
"Nov 16, 2020","7,120","6,850","7,140","6,820",1.45M,6.27%
"Nov 13, 2020","6,700","6,710","6,790","6,640",376.78K,-0.74%
"Nov 12, 2020","6,750","6,750","6,780","6,630",441.00K,-0.59%
"Nov 11, 2020","6,790","6,780","6,810","6,720",0.05K,0.30%
"Nov 10, 2020","6,770","6,810","6,900","6,710",0.01K,0.89%
"Nov 09, 2020","6,710","6,460","6,800","6,450",0.12K,4.68%
"Nov 06, 2020","6,410","6,480","6,540","6,370",277.30K,-1.08%
"Nov 05, 2020","6,480","6,390","6,490","6,300",344.08K,2.37%
"Nov 04, 2020","6,330","6,450","6,450","6,260",0.13K,-0.63%
"Nov 03, 2020","6,370","6,180","6,390","6,180",319.13K,3.41%
"Nov 02, 2020","6,160","6,060","6,190","6,030",224.54K,1.65%
"Oct 30, 2020","6,060","6,210","6,210","6,020",617.85K,-2.88%
"Oct 29, 2020","6,240","6,240","6,350","6,050",613.96K,-3.11%
"Oct 28, 2020","6,440","6,450","6,450","6,330",337.52K,-0.92%
"Oct 27, 2020","6,500","6,460","6,560","6,410",435.26K,-1.37%
"Oct 26, 2020","6,590","6,690","6,740","6,490",414.50K,-1.49%
"Oct 25, 2020","6,690","6,690","6,690","6,690",-,0.00%
"Oct 23, 2020","6,690","6,900","6,900","6,630",686.78K,-1.62%
"Oct 22, 2020","6,800","6,770","6,860","6,640",456.29K,0.15%
"Oct 21, 2020","6,790","6,700","6,810","6,640",0.17K,3.03%
"Oct 20, 2020","6,590","6,580","6,600","6,330",611.80K,0.15%
"Oct 19, 2020","6,580","6,590","6,780","6,570",0.30K,0.46%
"Oct 18, 2020","6,550","6,550","6,550","6,550",-,0.00%
"Oct 16, 2020","6,550","6,800","6,850","6,430",812.89K,-3.11%
"Oct 15, 2020","6,760","6,710","6,920","6,690",0.05K,0.75%
"Oct 14, 2020","6,710","6,960","6,980","6,690",0.12K,-3.87%
"Oct 13, 2020","6,980","7,280","7,300","6,950",0.21K,-3.59%
"Oct 12, 2020","7,240","7,480","7,480","7,180",0.00K,-0.82%
"Oct 08, 2020","7,300","7,010","7,430","6,900",4.19M,6.10%
"Oct 07, 2020","6,880","6,850","6,940","6,740",0.35K,0.15%
"Oct 06, 2020","6,870","6,920","6,970","6,770",4.48K,-1.01%
"Oct 05, 2020","6,940","6,350","6,980","6,340",4.36M,9.46%
"Oct 04, 2020","6,340","6,340","6,340","6,340",-,0.00%
"Sep 29, 2020","6,340","6,390","6,390","6,200",547.22K,1.12%
"Sep 28, 2020","6,270","6,370","6,480","6,170",792.80K,-1.26%
"Sep 25, 2020","6,350","6,150","6,350","6,120",866.51K,4.44%
"Sep 24, 2020","6,080","5,990","6,280","5,990",868.97K,-0.16%
"Sep 23, 2020","6,090","6,000","6,500","5,930",839.18K,2.01%
"Sep 22, 2020","5,970","6,060","6,120","5,960",1.04K,-2.45%
"Sep 21, 2020","6,120","6,170","6,250","6,090",349.60K,-1.45%
"Sep 20, 2020","6,210","6,210","6,210","6,210",-,0.00%
"Sep 18, 2020","6,210","6,220","6,320","6,160",592.12K,0.16%
"Sep 17, 2020","6,200","6,120","6,200","6,070",0.18K,1.31%
"Sep 16, 2020","6,120","6,060","6,180","6,040",0.16K,0.33%
"Sep 15, 2020","6,100","6,050","6,120","6,000",0.06K,0.83%
"Sep 14, 2020","6,050","6,050","6,110","6,020",261.37K,0.00%
"Sep 11, 2020","6,050","6,050","6,070","5,950",378.41K,-0.33%
"Sep 10, 2020","6,070","6,160","6,190","6,050",0.50K,-1.14%
"Sep 09, 2020","6,140","6,060","6,160","6,040",352.58K,0.66%
"Sep 08, 2020","6,100","6,280","6,340","6,060",686.75K,-2.56%
"Sep 07, 2020","6,260","6,160","6,530","6,100",786.68K,2.29%
"Sep 04, 2020","6,120","6,050","6,200","6,030",550.56K,-1.92%
"Sep 03, 2020","6,240","6,320","6,340","6,190",0.20K,-1.27%
"Sep 02, 2020","6,320","6,280","6,320","6,160",412.54K,1.44%
"Sep 01, 2020","6,230","6,130","6,270","6,130",343.79K,0.97%
"Aug 31, 2020","6,170","6,240","6,360","6,150",0.10K,-0.80%
"Aug 30, 2020","6,220","6,220","6,220","6,220",-,0.00%
"Aug 28, 2020","6,220","6,230","6,390","6,200",504.89K,-0.16%
"Aug 27, 2020","6,230","6,370","6,380","6,220",568.04K,-3.11%
"Aug 26, 2020","6,430","6,600","6,680","6,330",0.90K,-3.60%
"Aug 25, 2020","6,670","6,360","6,700","6,290",0.00K,5.71%
"Aug 24, 2020","6,310","6,130","6,320","6,030",587.68K,2.94%
"Aug 23, 2020","6,130","6,130","6,130","6,130",-,0.00%
"Aug 21, 2020","6,130","6,120","6,220","5,980",591.13K,1.49%
"Aug 20, 2020","6,040","6,250","6,320","6,000",1.19K,-4.58%
"Aug 19, 2020","6,330","6,160","6,380","6,080",0.20K,3.94%
"Aug 18, 2020","6,090","6,710","6,730","6,040",1.30M,-5.58%
"Aug 14, 2020","6,450","6,370","6,550","6,320",705.73K,1.10%
"Aug 13, 2020","6,380","6,600","6,600","6,330",0.81K,-2.74%
"Aug 12, 2020","6,560","6,380","6,570","6,190",1.25M,2.82%
"Aug 11, 2020","6,380","6,340","6,730","6,300",0.59K,1.27%
"Aug 10, 2020","6,300","6,150","6,320","6,110",0.15K,2.61%
"Aug 09, 2020","6,140","6,140","6,140","6,140",-,0.00%
"Aug 07, 2020","6,140","6,370","6,370","6,110",1.00M,-3.91%
"Aug 06, 2020","6,390","6,100","6,490","6,060",2.13M,4.93%
"Aug 05, 2020","6,090","6,040","6,110","6,010",442.13K,-0.16%
"Aug 04, 2020","6,100","5,930","6,110","5,900",579.81K,2.87%
"Aug 03, 2020","5,930","6,080","6,090","5,880",298.52K,-2.47%
"Aug 02, 2020","6,080","6,080","6,080","6,080",-,0.00%
"Jul 31, 2020","6,080","5,880","6,120","5,730",806.58K,2.70%
"Jul 30, 2020","5,920","6,080","6,090","5,920",0.00K,-2.15%
"Jul 29, 2020","6,050","5,950","6,100","5,920",0.49K,0.67%
"Jul 28, 2020","6,010","6,070","6,110","5,980",0.20K,-0.66%
"Jul 27, 2020","6,050","5,930","6,140","5,920",462.92K,1.00%
"Jul 26, 2020","5,990","5,990","5,990","5,990",-,0.00%
"Jul 24, 2020","5,990","6,120","6,240","5,960",765.75K,-3.70%
"Jul 23, 2020","6,220","6,350","6,360","6,140",904.49K,-1.89%
"Jul 22, 2020","6,340","6,170","6,440","6,050",0.41K,3.26%
"Jul 21, 2020","6,140","6,020","6,190","5,880",1.42M,1.32%
"Jul 20, 2020","6,060","5,790","6,090","5,780",0.00K,4.30%
"Jul 17, 2020","5,810","5,890","5,940","5,740",464.18K,-1.36%
"Jul 16, 2020","5,890","5,860","5,960","5,770",0.06K,0.68%
"Jul 15, 2020","5,850","5,700","6,120","5,670",0.05K,4.09%
"Jul 14, 2020","5,620","5,700","5,720","5,600",0.02K,-1.40%
"Jul 13, 2020","5,700","5,650","5,750","5,590",0.11K,0.71%
"Jul 10, 2020","5,660","5,830","5,830","5,580",713.30K,-2.92%
"Jul 09, 2020","5,830","5,730","5,870","5,710",2.30K,1.39%
"Jul 08, 2020","5,750","5,550","5,800","5,520",817.62K,2.68%
"Jul 07, 2020","5,600","5,740","5,850","5,600",0.12K,-1.75%
"Jul 06, 2020","5,700","5,490","5,780","5,400",0.68K,3.83%
"Jul 03, 2020","5,490","5,410","5,510","5,310",797.61K,1.67%
"Jul 02, 2020","5,400","5,330","5,420","5,260",426.79K,1.69%
"Jul 01, 2020","5,310","5,400","5,580","5,270",0.57K,0.19%
"Jun 30, 2020","5,300","5,470","5,560","5,260",1.17M,-0.38%
"Jun 29, 2020","5,320","5,150","5,370","5,090",906.91K,0.95%
"Jun 28, 2020","5,270","5,270","5,270","5,270",-,0.00%
"Jun 26, 2020","5,270","5,390","5,430","5,230",1.08M,-2.04%
"Jun 25, 2020","5,380","5,680","5,680","5,380",0.05K,-7.24%
"Jun 24, 2020","5,800","5,840","5,940","5,680",0.00K,1.05%
"Jun 23, 2020","5,740","5,760","5,800","5,510",0.07K,-0.52%
"Jun 22, 2020","5,770","5,900","5,900","5,710",0.10K,-3.19%
"Jun 21, 2020","5,960","5,960","5,960","5,960",-,0.00%
"Jun 19, 2020","5,960","6,240","6,250","5,860",1.44M,-1.49%
"Jun 18, 2020","6,050","6,170","6,180","5,790",2.26M,-2.73%
"Jun 17, 2020","6,220","6,300","6,320","6,130",6.17K,0.32%
"Jun 16, 2020","6,200","6,030","6,220","5,930",2.73M,6.16%
"Jun 15, 2020","5,840","6,820","6,820","5,840",2.41K,-16.21%
"Jun 14, 2020","6,970","6,970","6,970","6,970",-,0.00%
"Jun 12, 2020","6,970","7,050","7,370","6,660",3.95M,-7.80%
"Jun 11, 2020","7,560","7,700","8,820","7,410",0.16K,1.20%
"Jun 10, 2020","7,470","7,150","7,470","7,100",0.10K,4.48%
"Jun 09, 2020","7,150","7,150","7,150","7,090",1.11M,1.42%
"Jun 08, 2020","7,050","7,130","7,130","6,860",1.73M,-1.40%
"Jun 07, 2020","7,150","7,150","7,150","7,150",-,0.00%
"Jun 05, 2020","7,150","6,480","7,670","6,320",30.88M,15.32%
"Jun 04, 2020","6,200","6,430","6,690","5,800",0.04K,8.39%
"Jun 03, 2020","5,720","4,530","5,720","4,525",5.00K,30.00%
"Jun 02, 2020","4,400","4,540","4,670","4,390",1.63M,2.56%
"Jun 01, 2020","4,290","4,255","4,335","4,230",477.35K,0.59%
"May 29, 2020","4,265","4,345","4,360","4,240",597.45K,-1.84%
