Date,Price,Open,High,Low,Vol.,Change %
"Jan 07, 2021","20,400","20,495","20,982","20,126",3.05M,-0.18%
"Jan 06, 2021","20,436","20,650","21,181","20,290",3.00M,0.73%
"Jan 05, 2021","20,288","21,575","21,598","20,147",3.36M,-6.20%
"Jan 04, 2021","21,629","20,451","21,629","20,420",1.79M,7.13%
"Dec 31, 2020","20,190","19,990","20,580","19,702",921.41K,1.00%
"Dec 30, 2020","19,990","19,743","20,214","19,722",1.12M,1.73%
"Dec 29, 2020","19,650","20,300","20,300","19,636",1.22M,-2.06%
"Dec 28, 2020","20,064","19,600","20,312","19,290",597.33K,2.13%
"Dec 24, 2020","19,645","19,260","19,645","19,135",351.57K,2.00%
"Dec 23, 2020","19,260","19,100","19,386","18,827",703.19K,0.75%
"Dec 22, 2020","19,117","19,482","19,482","18,928",1.39M,0.09%
"Dec 21, 2020","19,099","21,113","21,271","18,713",2.33M,-6.59%
"Dec 18, 2020","20,447","19,745","20,669","19,246",8.35M,3.56%
"Dec 17, 2020","19,745","19,199","19,745","18,891",9.41M,4.63%
"Dec 15, 2020","18,871","18,674","19,199","18,525",3.48M,1.05%
"Dec 14, 2020","18,674","18,700","18,740","18,236",2.48M,1.45%
"Dec 11, 2020","18,407","18,500","18,598","18,151",3.04M,-0.55%
"Dec 10, 2020","18,509","18,780","18,873","18,238",2.48M,-0.95%
"Dec 09, 2020","18,686","18,782","19,075","18,638",4.03M,-0.51%
"Dec 08, 2020","18,782","18,700","19,292","18,660",4.03M,-0.01%
"Dec 07, 2020","18,783","16,865","18,826","16,865",8.86M,10.70%
"Dec 04, 2020","16,968","17,671","18,189","16,549",5.34M,-3.98%
"Dec 03, 2020","17,671","17,015","17,999","16,726",5.41M,3.82%
"Dec 02, 2020","17,021","16,685","17,098","15,768",3.83M,4.42%
"Dec 01, 2020","16,300","16,679","16,842","16,124",3.48M,0.17%
"Nov 30, 2020","16,272","16,600","16,769","15,919",6.83M,-1.51%
"Nov 27, 2020","16,521","16,334","16,646","16,039",2.35M,1.33%
"Nov 26, 2020","16,304","15,558","16,490","15,544",1.88M,5.05%
