Date,Price,Open,High,Low,Vol.,Change %
"Nov 05, 2020",3.63,3.63,3.67,3.57,2.82M,0.28%
"Nov 04, 2020",3.62,3.63,3.67,3.59,3.70M,1.69%
"Nov 03, 2020",3.56,3.52,3.61,3.47,5.76M,1.14%
"Nov 02, 2020",3.52,3.59,3.66,3.42,5.74M,-1.68%
"Nov 01, 2020",3.58,3.64,3.64,3.54,5.91M,-2.72%
"Oct 28, 2020",3.68,3.74,3.77,3.62,15.73M,-2.90%
"Oct 27, 2020",3.79,3.74,3.84,3.73,11.08M,1.34%
"Oct 26, 2020",3.74,3.74,3.8,3.65,8.27M,0.54%
"Oct 25, 2020",3.72,3.65,3.79,3.59,5.05M,0.00%
"Oct 22, 2020",3.72,3.8,3.82,3.61,10.10M,-3.12%
"Oct 21, 2020",3.84,3.91,3.92,3.72,8.36M,-0.78%
"Oct 20, 2020",3.87,3.92,3.95,3.8,10.89M,0.52%
"Oct 19, 2020",3.85,3.76,3.93,3.76,10.68M,2.39%
"Oct 18, 2020",3.76,3.83,3.83,3.7,9.18M,-1.83%
"Oct 15, 2020",3.83,3.96,3.98,3.7,17.76M,-4.49%
"Oct 14, 2020",4.01,4.11,4.12,3.93,7.72M,-0.50%
"Oct 13, 2020",4.03,3.98,4.16,3.88,12.14M,-1.47%
"Oct 12, 2020",4.09,4.32,4.34,3.9,23.29M,-3.08%
"Oct 11, 2020",4.22,4.25,4.49,4.01,55.52M,9.04%
"Oct 07, 2020",3.87,3.87,3.87,3.83,19.21M,3.20%
"Oct 06, 2020",3.75,3.6,3.86,3.6,35.07M,6.53%
"Oct 05, 2020",3.52,3.5,3.66,3.35,24.95M,1.15%
"Oct 04, 2020",3.48,3.38,3.53,3.38,17.39M,3.26%
"Oct 01, 2020",3.37,3.23,3.41,3.23,16.40M,4.98%
"Sep 30, 2020",3.21,3.15,3.26,3.15,15.04M,2.88%
"Sep 29, 2020",3.12,3.07,3.17,3.05,11.78M,2.30%
"Sep 28, 2020",3.05,3.03,3.09,2.99,2.86M,0.66%
"Sep 27, 2020",3.03,3.03,3.08,3,2.00M,1.34%
"Sep 24, 2020",2.99,3.03,3.05,2.94,4.61M,-1.97%
"Sep 23, 2020",3.05,3.09,3.1,3.01,1.58M,0.33%
"Sep 22, 2020",3.04,3.01,3.09,2.98,5.11M,1.33%
"Sep 21, 2020",3,3.07,3.11,2.89,7.93M,-0.99%
"Sep 20, 2020",3.03,3.01,3.07,3,2.00M,0.00%
"Sep 17, 2020",3.03,3.05,3.06,3,2.55M,-0.66%
"Sep 16, 2020",3.05,3.01,3.06,3.01,2.64M,0.66%
"Sep 15, 2020",3.03,3.04,3.06,3.01,2.86M,-1.30%
"Sep 14, 2020",3.07,3.08,3.12,3.04,3.25M,-0.65%
"Sep 13, 2020",3.09,3.09,3.13,3.06,2.66M,0.00%
"Sep 10, 2020",3.09,3.08,3.12,3.06,3.63M,1.64%
"Sep 09, 2020",3.04,3.06,3.12,2.98,10.66M,-0.65%
"Sep 08, 2020",3.06,3.09,3.15,2.99,10.03M,-0.65%
"Sep 07, 2020",3.08,3.1,3.15,3.02,5.18M,-0.96%
"Sep 06, 2020",3.11,3.11,3.16,3.07,5.03M,-2.51%
"Sep 03, 2020",3.19,3.23,3.25,3.12,4.86M,-1.24%
"Sep 02, 2020",3.23,3.21,3.29,3.19,5.02M,0.31%
"Sep 01, 2020",3.22,3.27,3.3,3.16,9.13M,-3.30%
"Aug 31, 2020",3.33,3.4,3.45,3.26,7.85M,-1.19%
"Aug 30, 2020",3.37,3.4,3.4,3.35,2.57M,-0.59%
"Aug 27, 2020",3.39,3.39,3.43,3.35,5.33M,-0.59%
"Aug 26, 2020",3.41,3.44,3.49,3.37,3.85M,0.00%
"Aug 25, 2020",3.41,3.41,3.46,3.37,7.67M,-1.73%
"Aug 24, 2020",3.47,3.6,3.6,3.39,16.92M,-1.98%
"Aug 23, 2020",3.54,3.42,3.62,3.42,15.69M,4.42%
"Aug 19, 2020",3.39,3.35,3.42,3.32,6.51M,1.80%
"Aug 18, 2020",3.33,3.34,3.38,3.28,3.53M,-0.60%
"Aug 17, 2020",3.35,3.41,3.42,3.26,6.11M,-1.76%
"Aug 16, 2020",3.41,3.4,3.49,3.35,8.70M,1.79%
"Aug 13, 2020",3.35,3.35,3.38,3.31,2.57M,-0.30%
"Aug 12, 2020",3.36,3.4,3.44,3.29,6.94M,0.60%
"Aug 11, 2020",3.34,3.4,3.4,3.26,8.58M,-1.47%
"Aug 10, 2020",3.39,3.45,3.59,3.32,14.44M,3.67%
"Aug 09, 2020",3.27,3.1,3.38,3.07,23.38M,6.17%
"Aug 06, 2020",3.08,3.08,3.11,3.05,5.45M,1.32%
"Aug 05, 2020",3.04,3,3.08,2.97,9.45M,2.01%
"Aug 04, 2020",2.98,2.98,3,2.94,4.96M,2.05%
"Jul 29, 2020",2.92,2.94,2.97,2.88,5.92M,1.04%
"Jul 28, 2020",2.89,2.84,2.92,2.82,8.02M,2.12%
"Jul 27, 2020",2.83,2.84,2.86,2.8,2.65M,0.71%
"Jul 26, 2020",2.81,2.79,2.83,2.77,3.37M,2.18%
"Jul 22, 2020",2.75,2.79,2.79,2.74,2.19M,-0.72%
"Jul 21, 2020",2.77,2.76,2.81,2.73,6.63M,1.09%
"Jul 20, 2020",2.74,2.74,2.79,2.69,7.74M,0.74%
"Jul 19, 2020",2.72,2.81,2.84,2.64,6.72M,-1.45%
"Jul 16, 2020",2.76,2.81,2.83,2.67,8.87M,-2.13%
"Jul 15, 2020",2.82,3.02,3.03,2.72,18.84M,-6.62%
"Jul 14, 2020",3.02,3.05,3.08,2.97,13.02M,-2.58%
"Jul 13, 2020",3.1,3.16,3.19,3.03,19.62M,-0.96%
"Jul 12, 2020",3.13,3.09,3.14,3.07,20.03M,3.30%
"Jul 09, 2020",3.03,2.99,3.13,2.9,35.91M,0.66%
"Jul 08, 2020",3.01,2.85,3.1,2.85,44.72M,5.99%
"Jul 07, 2020",2.84,2.89,2.9,2.8,10.96M,-1.39%
"Jul 06, 2020",2.88,2.87,2.95,2.84,12.64M,2.49%
"Jul 05, 2020",2.81,2.78,2.85,2.75,8.02M,2.93%
"Jun 30, 2020",2.73,2.69,2.76,2.69,4.08M,1.49%
"Jun 29, 2020",2.69,2.7,2.73,2.66,2.61M,-0.74%
"Jun 28, 2020",2.71,2.69,2.75,2.68,2.79M,-1.81%
"Jun 25, 2020",2.76,2.8,2.81,2.69,9.05M,-1.78%
"Jun 24, 2020",2.81,2.75,2.87,2.73,16.04M,4.07%
"Jun 23, 2020",2.7,2.62,2.77,2.61,8.37M,1.89%
"Jun 22, 2020",2.65,2.7,2.7,2.61,6.64M,-1.12%
"Jun 21, 2020",2.68,2.69,2.71,2.64,6.57M,-1.47%
"Jun 18, 2020",2.72,2.75,2.77,2.71,6.11M,-2.16%
"Jun 17, 2020",2.78,2.73,2.81,2.7,16.81M,1.46%
"Jun 16, 2020",2.74,2.71,2.78,2.7,13.88M,3.40%
"Jun 15, 2020",2.65,2.56,2.7,2.53,12.48M,3.11%
"Jun 14, 2020",2.57,2.58,2.61,2.53,5.86M,-1.53%
"Jun 11, 2020",2.61,2.62,2.65,2.59,5.87M,-1.14%
"Jun 10, 2020",2.64,2.67,2.67,2.63,2.53M,-1.49%
"Jun 09, 2020",2.68,2.72,2.74,2.62,9.30M,-1.83%
"Jun 08, 2020",2.73,2.78,2.81,2.69,13.41M,-0.36%
"Jun 07, 2020",2.74,2.68,2.8,2.68,21.98M,4.18%
"Jun 04, 2020",2.63,2.6,2.67,2.58,13.70M,1.15%
"Jun 03, 2020",2.6,2.64,2.65,2.56,9.76M,-0.76%
"Jun 02, 2020",2.62,2.59,2.64,2.59,7.01M,0.38%
"Jun 01, 2020",2.61,2.64,2.65,2.57,6.64M,0.77%
"May 31, 2020",2.59,2.53,2.65,2.53,13.02M,4.86%
"May 21, 2020",2.47,2.5,2.51,2.44,10.20M,-1.59%
"May 20, 2020",2.51,2.56,2.56,2.48,4.01M,-3.09%
"May 19, 2020",2.59,2.6,2.62,2.55,3.18M,1.97%
"May 18, 2020",2.54,2.6,2.6,2.51,3.65M,-1.55%
"May 17, 2020",2.58,2.6,2.63,2.55,1.31M,0.39%
"May 14, 2020",2.57,2.6,2.63,2.54,3.17M,-3.38%
"May 13, 2020",2.66,2.7,2.76,2.59,8.17M,-0.37%
"May 12, 2020",2.67,2.66,2.73,2.61,10.51M,4.71%
"May 11, 2020",2.55,2.61,2.62,2.46,5.70M,-1.92%
"May 10, 2020",2.6,2.64,2.66,2.54,7.43M,-2.62%
"May 07, 2020",2.67,2.79,2.79,2.57,10.91M,-4.64%
"May 06, 2020",2.8,2.82,2.83,2.76,9.33M,-0.36%
"May 05, 2020",2.81,2.84,2.85,2.78,6.70M,0.72%
"May 04, 2020",2.79,2.8,2.83,2.73,5.01M,-2.11%
"May 03, 2020",2.85,3.04,3.05,2.77,11.39M,-7.17%
"Apr 30, 2020",3.07,3.07,3.11,3.04,5.40M,-0.97%
"Apr 29, 2020",3.1,3.15,3.18,3.03,11.14M,-2.21%
"Apr 28, 2020",3.17,3.18,3.2,3.12,8.34M,3.93%
"Apr 27, 2020",3.05,2.98,3.15,2.92,17.15M,3.39%
"Apr 26, 2020",2.95,2.91,3,2.91,9.14M,2.79%
"Apr 23, 2020",2.87,2.84,2.9,2.82,4.80M,2.50%
"Apr 22, 2020",2.8,2.82,2.84,2.76,4.28M,0.00%
"Apr 21, 2020",2.8,2.82,2.83,2.75,4.29M,-1.75%
"Apr 16, 2020",2.85,2.83,2.87,2.8,2.50M,-0.70%
"Apr 15, 2020",2.87,2.95,2.96,2.82,5.76M,-1.37%
"Apr 14, 2020",2.91,2.9,2.94,2.87,7.35M,1.39%
"Apr 13, 2020",2.87,2.83,2.92,2.82,12.93M,2.50%
"Apr 12, 2020",2.8,2.85,2.85,2.74,5.31M,-1.75%
"Apr 09, 2020",2.85,2.9,2.95,2.79,8.25M,-2.73%
