Date,Price,Open,High,Low,Vol.,Change %
"Dec 10, 2020",81,77,81.3,77,1.25M,5.47%
"Dec 09, 2020",76.8,81.5,81.5,75.05,359.18K,-5.88%
"Dec 04, 2020",81.6,84.5,84.95,81.5,833.78K,-1.45%
"Dec 03, 2020",82.8,83.9,84.5,82.7,641.62K,0.36%
"Dec 02, 2020",82.5,83,85.65,82.45,364.84K,-0.96%
"Dec 01, 2020",83.3,84.5,85.4,83,655.83K,-1.48%
"Nov 30, 2020",84.55,83.4,84.8,82.9,635.24K,1.62%
"Nov 27, 2020",83.2,83.6,84.45,81.1,363.95K,0.00%
"Nov 26, 2020",83.2,83.1,85,81.5,106.38K,0.24%
"Nov 25, 2020",83,83.5,85,82.8,621.15K,-0.60%
"Nov 24, 2020",83.5,81,85,81,1.22M,4.97%
"Nov 20, 2020",79.55,79.95,82,78.6,372.21K,1.47%
"Nov 19, 2020",78.4,81.1,82,77.85,235.27K,-0.32%
"Nov 18, 2020",78.65,78.95,82.7,78.1,681.86K,-0.44%
"Nov 17, 2020",79,81,81.9,78.5,338.13K,-2.11%
"Nov 16, 2020",80.7,78.8,82,76,416.51K,2.93%
"Nov 13, 2020",78.4,77,78.7,74.95,419.34K,0.38%
"Nov 12, 2020",78.1,81,82.1,77.6,410.47K,-3.82%
"Nov 11, 2020",81.2,79.5,81.9,78.7,661.39K,3.44%
"Nov 10, 2020",78.5,76.95,81.6,76.5,523.81K,2.01%
"Nov 09, 2020",76.95,80.5,83,75.8,714.16K,-2.35%
"Nov 06, 2020",78.8,76,79.35,75.3,178.19K,6.49%
"Nov 05, 2020",74,77.5,78.5,74,596.19K,-4.27%
"Nov 04, 2020",77.3,75.1,78,75.1,299.94K,4.11%
"Nov 03, 2020",74.25,74.8,78.6,74.25,581.57K,-1.00%
"Nov 02, 2020",75,73,75.25,72.4,289.63K,7.14%
"Oct 30, 2020",70,71.7,74,69.3,549.09K,-2.71%
"Oct 29, 2020",71.95,69,72,68.7,341.43K,1.34%
"Oct 28, 2020",71,76.8,76.8,69,916.61K,-8.56%
"Oct 27, 2020",77.65,80,84.7,77,1.02M,-8.65%
"Oct 26, 2020",85,85,86.25,80.4,527.04K,0.00%
"Oct 23, 2020",85,84.3,86,80,697.40K,0.47%
"Oct 22, 2020",84.6,78.5,84.9,77,1.01M,5.75%
"Oct 21, 2020",80,81.3,82.3,78.5,766.34K,-1.36%
"Oct 20, 2020",81.1,78.55,81.3,77.4,1.18M,3.31%
"Oct 19, 2020",78.5,79.9,81,77,788.28K,0.51%
"Oct 16, 2020",78.1,77.5,78.95,76.35,1.08M,1.43%
"Oct 14, 2020",77,69.55,77,69.55,1.28M,8.07%
"Oct 13, 2020",71.25,67,71.25,67,2.51M,6.74%
"Oct 09, 2020",66.75,64.8,67.3,64,710.02K,3.97%
"Oct 08, 2020",64.2,63.1,65.25,62.45,647.38K,0.31%
"Oct 07, 2020",64,63.15,64.55,61.8,1.35M,2.40%
"Oct 06, 2020",62.5,65.1,67.4,62.5,975.52K,-3.77%
"Oct 05, 2020",64.95,64.5,66.5,64,892.86K,0.70%
"Oct 02, 2020",64.5,61.5,65,60.5,844.27K,4.03%
"Oct 01, 2020",62,61.2,62.3,59.5,661.27K,3.94%
"Sep 30, 2020",59.65,60.45,61.2,58.8,1.31M,-2.05%
"Sep 29, 2020",60.9,59.1,60.95,58.6,223.99K,1.00%
"Sep 28, 2020",60.3,61,61.5,58,327.48K,1.60%
"Sep 25, 2020",59.35,58.5,60.65,57.1,310.57K,2.33%
"Sep 24, 2020",58,58,58.6,57.5,766.09K,0.35%
"Sep 23, 2020",57.8,60.3,60.5,57.55,2.97M,-3.75%
"Sep 22, 2020",60.05,58.1,60.7,57.8,878.81K,3.53%
"Sep 21, 2020",58,58.3,59.9,56.1,1.03M,-0.85%
"Sep 18, 2020",58.5,53.1,59,53.1,951.43K,6.36%
"Sep 17, 2020",55,56,56,53,2.33M,-3.51%
"Sep 16, 2020",57,58.3,58.4,54.9,832.44K,-4.12%
"Sep 15, 2020",59.45,59,60.45,57.25,606.00K,-0.67%
"Sep 14, 2020",59.85,61.5,61.5,58.5,566.20K,-1.89%
"Sep 11, 2020",61,61.95,62,59.9,578.40K,-0.97%
"Sep 10, 2020",61.6,60.3,62.25,59.9,1.37M,1.99%
"Sep 09, 2020",60.4,59.9,61,59,577.10K,2.11%
"Sep 08, 2020",59.15,57.9,59.45,56.55,503.48K,0.94%
"Sep 07, 2020",58.6,59,59,58,131.35K,-1.01%
"Sep 04, 2020",59.2,59.4,59.4,56.65,376.58K,1.46%
"Sep 03, 2020",58.35,58,59.85,57,525.70K,-0.93%
"Sep 02, 2020",58.9,59.95,59.95,58.2,350.67K,-1.51%
"Sep 01, 2020",59.8,58.1,60,58.1,641.80K,0.84%
"Aug 31, 2020",59.3,60,60.2,58.6,448.30K,0.17%
"Aug 28, 2020",59.2,57.1,60.5,56.5,1.29M,3.14%
"Aug 27, 2020",57.4,59,59.6,56.45,839.80K,-1.29%
"Aug 26, 2020",58.15,58,59.3,57.85,986.34K,0.26%
"Aug 25, 2020",58,56.3,58.9,56.3,1.01M,-0.77%
"Aug 24, 2020",58.45,58.85,59.45,56.7,1.14M,-0.68%
"Aug 21, 2020",58.85,58.8,61.55,56.7,1.87M,0.09%
"Aug 20, 2020",58.8,57.75,58.95,56.75,795.70K,1.38%
"Aug 19, 2020",58,54.85,58.4,54.85,1.06M,3.39%
"Aug 18, 2020",56.1,56,56.7,53.65,955.40K,-1.58%
"Aug 14, 2020",57,57.9,58.1,56.2,835.86K,0.00%
"Aug 13, 2020",57,56,58.7,55.35,1.15M,1.60%
"Aug 12, 2020",56.1,57.2,58.15,55.1,1.71M,-2.09%
"Aug 11, 2020",57.3,57.9,58.5,56.75,1.31M,-1.04%
"Aug 10, 2020",57.9,59,60,57.65,966.32K,-1.61%
"Aug 07, 2020",58.85,57.5,59,56.85,706.31K,1.99%
"Aug 06, 2020",57.7,58,58,56.05,638.88K,1.23%
"Aug 05, 2020",57,59.5,60.5,56,1.20M,-2.90%
"Aug 04, 2020",58.7,62.25,64,57,3.09M,-2.41%
"Aug 03, 2020",60.15,55,61.25,54.2,2.85M,11.39%
"Jul 31, 2020",54,54.55,54.9,53.5,710.56K,-1.10%
"Jul 30, 2020",54.6,53,54.6,52.2,916.89K,1.68%
"Jul 29, 2020",53.7,55.05,55.9,53.05,969.10K,-2.89%
"Jul 28, 2020",55.3,55.75,57.3,54,1.27M,-0.90%
"Jul 27, 2020",55.8,58,58.6,55.5,2.15M,-3.29%
"Jul 24, 2020",57.7,55.95,57.75,54.35,2.11M,2.12%
"Jul 23, 2020",56.5,57,59.5,55.2,1.81M,-0.53%
"Jul 22, 2020",56.8,54.8,57.85,53.3,1.95M,4.03%
"Jul 21, 2020",54.6,53.1,55.8,53.1,1.80M,3.90%
"Jul 20, 2020",52.55,51.7,53.15,51.3,1.29M,1.64%
"Jul 17, 2020",51.7,52.35,53.05,50.6,1.60M,-1.52%
"Jul 16, 2020",52.5,52,52.9,51.1,636.11K,-0.57%
"Jul 15, 2020",52.8,52.5,52.95,51.8,747.31K,1.54%
"Jul 14, 2020",52,51.2,52.1,50.5,549.37K,1.96%
"Jul 13, 2020",51,51.2,52.15,50,2.23M,0.20%
"Jul 08, 2020",50.9,50.2,51.5,50.1,862.53K,2.00%
"Jul 07, 2020",49.9,50.1,50.7,48.4,1.21M,-1.38%
"Jul 06, 2020",50.6,49.5,51.55,49.5,2.56M,7.09%
"Jul 03, 2020",47.25,45.75,48,45.75,681.60K,2.72%
"Jul 02, 2020",46,47.8,48.85,42.8,1.29M,-2.44%
"Jul 01, 2020",47.15,45.5,48,45.3,650.10K,4.31%
"Jun 30, 2020",45.2,45.4,45.9,44.3,1.72M,-1.09%
"Jun 29, 2020",45.7,45.7,47,44.5,1.71M,0.66%
"Jun 26, 2020",45.4,48,48,45,1.07M,-4.82%
"Jun 25, 2020",47.7,45.3,48.15,45.3,1.22M,7.55%
"Jun 24, 2020",44.35,44.45,45.5,43.5,867.71K,-0.78%
"Jun 23, 2020",44.7,45.25,46.2,44,2.63M,0.34%
"Jun 22, 2020",44.55,45.7,47,43,2.46M,-2.73%
"Jun 19, 2020",45.8,44.5,46.5,43.9,1.60M,6.76%
