Date,Price,Open,High,Low,Vol.,Change %
"Feb 23, 2021",22.48,23.2,23.38,22.48,15.10M,-2.85%
"Feb 22, 2021",23.14,22.56,23.2,22.5,22.74M,2.94%
"Feb 19, 2021",22.48,22.3,22.72,22.28,14.44M,0.27%
"Feb 18, 2021",22.42,22.06,22.44,21.96,13.51M,2.09%
"Feb 17, 2021",21.96,22.4,22.78,21.9,16.61M,-1.70%
"Feb 16, 2021",22.34,22.7,23.26,22.12,25.16M,-0.98%
"Feb 15, 2021",22.56,22.9,23.04,22.42,9.90M,-0.62%
"Feb 12, 2021",22.7,22.54,23.18,22.38,14.81M,0.09%
"Feb 11, 2021",22.68,22.4,22.88,22.38,12.93M,1.70%
"Feb 10, 2021",22.3,22.04,22.3,21.8,8.27M,1.64%
"Feb 09, 2021",21.94,21.5,22.36,21.5,15.48M,1.67%
"Feb 08, 2021",21.58,21.42,21.7,21,8.51M,1.51%
"Feb 05, 2021",21.26,21.62,21.8,21.26,7.19M,-1.39%
"Feb 04, 2021",21.56,21.4,21.9,21.34,11.11M,0.56%
"Feb 03, 2021",21.44,20.7,21.48,20.7,14.47M,4.08%
"Feb 02, 2021",20.6,20.58,20.92,20.54,10.33M,0.78%
"Feb 01, 2021",20.44,20.4,20.6,20.18,6.50M,1.19%
"Jan 29, 2021",20.2,20.34,20.9,20.14,12.65M,-2.32%
"Jan 28, 2021",20.68,20.24,20.96,20.12,11.39M,1.27%
"Jan 27, 2021",20.42,21.44,21.52,20.42,11.04M,-4.93%
"Jan 26, 2021",21.48,21.6,21.88,21.42,6.91M,-0.74%
"Jan 25, 2021",21.64,22.16,22.3,21.62,6.03M,-1.73%
"Jan 22, 2021",22.02,21.94,22.14,21.6,9.12M,0.09%
"Jan 21, 2021",22,22.68,22.96,22,9.48M,-2.91%
"Jan 20, 2021",22.66,22.32,22.66,21.72,12.02M,1.61%
"Jan 19, 2021",22.3,22.26,22.44,22.08,7.89M,0.36%
"Jan 18, 2021",22.22,21.42,22.22,20.96,8.56M,3.73%
"Jan 15, 2021",21.42,21.98,22.08,21.4,8.23M,-3.16%
"Jan 14, 2021",22.12,22.1,22.18,21.84,6.75M,0.55%
"Jan 13, 2021",22,22.26,22.4,21.86,6.96M,-0.90%
"Jan 12, 2021",22.2,21.84,22.24,21.72,10.10M,1.83%
"Jan 11, 2021",21.8,21.48,22.12,21.34,20.00M,1.30%
"Jan 08, 2021",21.52,21.22,21.52,21.12,10.36M,1.99%
"Jan 07, 2021",21.1,21.2,21.26,20.88,7.91M,-0.19%
"Jan 06, 2021",21.14,21.24,21.34,20.86,12.23M,0.00%
"Jan 05, 2021",21.14,21,21.6,20.86,15.65M,-0.28%
"Jan 04, 2021",21.2,21.12,21.5,21.04,10.53M,0.38%
"Dec 31, 2020",21.12,20.84,21.38,20.72,7.12M,0.86%
"Dec 30, 2020",20.94,20.72,21.08,20.62,10.05M,1.55%
"Dec 29, 2020",20.62,20.04,20.66,20,9.93M,3.10%
"Dec 28, 2020",20,19.92,20.12,19.92,4.68M,0.50%
"Dec 25, 2020",19.9,19.94,20.08,19.83,2.94M,-0.35%
"Dec 24, 2020",19.97,19.81,20.04,19.76,6.79M,0.66%
"Dec 23, 2020",19.84,19.7,20.14,19.7,11.89M,0.81%
"Dec 22, 2020",19.68,19.51,19.83,19.43,7.75M,1.50%
"Dec 21, 2020",19.39,19.73,19.73,19.07,10.66M,-3.05%
"Dec 18, 2020",20,19.81,20.1,19.75,7.20M,0.55%
"Dec 17, 2020",19.89,20.12,20.32,19.72,10.20M,-0.10%
"Dec 16, 2020",19.91,19.65,20.22,19.62,14.55M,2.00%
"Dec 15, 2020",19.52,19.54,19.67,19.32,9.22M,-0.10%
"Dec 14, 2020",19.54,19.25,19.93,19.24,18.40M,2.57%
"Dec 11, 2020",19.05,18.6,19.11,18.43,10.03M,1.33%
"Dec 10, 2020",18.8,18.83,19.01,18.66,9.75M,-0.27%
"Dec 09, 2020",18.85,18.62,19.02,18.62,13.67M,1.24%
"Dec 08, 2020",18.62,18.54,18.94,18.54,11.45M,0.49%
"Dec 07, 2020",18.53,18.37,18.72,18.27,13.22M,0.22%
